Supplemental_Table_1: Parkinson's Disease associated genes from DisGeNET. Disease association score > 0.3 shows evidence supported by In silico or In vivo studies.,,,
,,,
Disease_name,Gene,Gene_Description,Disease_Association_score
Idiopathic Parkinsonism or Parkinson's disease,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,0.45
Primary Parkinsonism or Parkinson's disease,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,0.45
Parkinson Disease,LOC106627981,GBA recombination region,0.4
Parkinson Disease,KCNK18,potassium two pore domain channel subfamily K member 18,0.4
Parkinson Disease,KCNJ4,potassium inwardly rectifying channel subfamily J member 4,0.4
Parkinson Disease,FGB,fibrinogen beta chain,0.4
Parkinson Disease,RPS8,ribosomal protein S8,0.4
Parkinson Disease,SLC38A2,solute carrier family 38 member 2,0.4
Parkinson Disease,RPL23A,ribosomal protein L23a,0.4
Juvenile Parkinson's disease,PACRG,parkin coregulated,0.4
Young onset Parkinson disease,THAP1,THAP domain containing 1,0.4
Young onset Parkinson disease,CATIP-AS2,CATIP antisense RNA 2,0.4
Young onset Parkinson disease,PNKD,PNKD metallo-beta-lactamase domain containing,0.4
Young onset Parkinson disease,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",0.4
Parkinson Disease,PINK1-AS,PINK1 antisense RNA,0.4
Juvenile Parkinson's disease,PARK7,Parkinsonism associated deglycase,0.4
Young onset Parkinson disease,HNRNPUL2-BSCL2,HNRNPUL2-BSCL2 readthrough (NMD candidate),0.4
Parkinson Disease,PTGIS,prostaglandin I2 synthase,0.4
